Shotgun
LMG
SMG
AR
DMR
Pistol
Deagle
SMG 11/12
C-75/Bearing
StarWars Pistol
Keratos/Revolver
Knife
HipFire
OneTap HeadShot
360 NoScope
Iron Sight
Prone
DropShot
BosG
Explosive Kill
Trap Kill
Blind Kill
Kill Blind Person
Kill minority
Trade
Shield Kill
Oryx/Nomad
Camping
Sub 40 sec
Sledge Hammer
Zero/Azami Knife
Red Ping Kill
Vigil/Nokk Kill
Super Shorty
T-Bag Knock 5X
Revive
Kill female
Ace
Kill as Ash
Kill as Castle
Kill as Thermite
Kill as Pulse
Kill as IQ
Kill as Bandit
Kill as Doc
Kill as Rook
Kill as Twitch
Kill as Monty
Kill as Mute
Prone Knife
Kill as Smoke
Kill Jeager
Kill Smoke
Kill as Blitz
Concused Kill
Twitch Zap
Spider-Man
Interagation
c4 kill
Kapkan/Thorn
Claymore
Kill Male
Suppressor Kill
Buck Shotgun
EMP'd Kill
Plant Bomb
Kill while Planting
Defuse Bomb
Kill through Floor
Crouched Kill
Pixel Peak
Alibi trick&kill
Lion Scan Kill
Wall Bang
Lesion Kill
sledge
